Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line,Total
t9,2.0649104538868298e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.072478534574411e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.076882234080392e-8,0.0,0.0,0.0,2.0911817246097757e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.0911598016489974e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.0911874823134513e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.0911954610481597e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4578995692162016e-7
t10,0.3260868483202616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.413043369415579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565217282135996,0.0,0.0,0.0,1.9975405671527814e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.9978725021518154e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.9971590122788284e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.997550347710905e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.30442740109613
t11,0.3260867792317301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130432998757423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565217212412904,0.0,0.0,0.0,1.6229812341609117e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.623241198652673e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.6226692995154547e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.6229900087814242e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304412210337787
t12,0.3260867792308311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130432998745646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565217212412043,0.0,0.0,0.0,1.4968776367480835e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4971124456605457e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4965857880527446e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4968859501104928e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304407166135645
t13,0.3260867792307315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130432998743154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565217212411841,0.0,0.0,0.0,1.4122300288906882e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4124474608004741e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4119519267163908e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4122372024466068e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304403780183077
t14,0.3260867792310431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130432998749713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565217212413138,0.0,0.0,0.0,1.3844442593733966e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.3846571447420668e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.3841708305167685e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.3844511026209067e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304402668752525
t15,0.32608677925140656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130432999438616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5652172125272426,0.0,0.0,0.0,1.4312892028503238e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.431513518139292e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4310075508109346e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.4312973474137315e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304404542798703
t16,0.32608685911385926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4130433802513078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565217293027073,0.0,0.0,0.0,1.5766492020383692e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.5769092387278554e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.5763492008770376e-5,0.0,0.0,0.0,0.0,0.0,0.0,1.5766590660256624e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.304410598059317
t17,1.3408775156079264e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3435928409208044e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.347427713260586e-7,0.0,0.0,0.0,1.3274385665095847e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.327492879213133e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3274612825132185e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.327458039493228e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.341748837518482e-7
t18,1.3501013124738628e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3500583478888376e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.352362558029934e-7,0.0,0.0,0.0,1.349514701654515e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3495798103396705e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.349547592000833e-7,0.0,0.0,0.0,0.0,0.0,0.0,1.3495452009248034e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.450709523312455e-7
