Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
t10,0.0004770007788743731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260096042625922e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22252990499961e-5,0.0,0.0,0.0,2.0360336701908963e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.0311104757809553e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.0380010117735576e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.0347932599523364e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.00047994825757413184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.591969619313183e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.548691240193715e-5,0.0,0.0,0.0,2.2069034641152494e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.2021333445932332e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.2087500990009427e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.205279946831919e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0004848005086779931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.694178292114571e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59296724164026e-5,0.0,0.0,0.0,2.2645484008892855e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.2597971158101573e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.2663878989638965e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.2628782326721513e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.00048607630969962846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.705164553296685e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.587179440135921e-5,0.0,0.0,0.0,2.276823308870375e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.2719849608254474e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.2786836230062997e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.2751497306720323e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0004838987912590987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.637867525071693e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5430789828279404e-5,0.0,0.0,0.0,2.2437920013459684e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.2388011173361884e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.24569803313039e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.242194778491014e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.00048261256460930765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.399301509042912e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.318283161586311e-5,0.0,0.0,0.0,2.1032777544706993e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.098067882138268e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.1052751732503697e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.101939884006047e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.00048155708227690135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9977703047407656e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7429833985449306e-5,0.0,0.0,0.0,6.734763153584866e-6,0.0,0.0,0.0,0.0,0.0,0.0,6.682989864581876e-6,0.0,0.0,0.0,0.0,0.0,0.0,6.755514423645532e-6,0.0,0.0,0.0,0.0,0.0,0.0,6.731688288842018e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0004585744299743052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8442930476448775e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.482683568858739e-6,0.0,0.0,0.0,-1.460836463200597e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.4638263537035642e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.4592031738262175e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.459516209082483e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.00045467305081234825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.698737996119233e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.393356398261421e-6,0.0,0.0,0.0,-1.5513744356374798e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.552832782456092e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5502431822642333e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.549966960167367e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.00045077032546693614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64795896980933e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.612488472409649e-6,0.0,0.0,0.0,-1.5959529354814974e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.596879108469062e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5950141269649666e-5,0.0,0.0,0.0,0.0,0.0,0.0,-1.5946611567277156e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
