Resource,East_batteries_1,East_conventional_hydroelectric_1,East_landfill_gas_1,East_natural_gas_internal_combustion_engine_1,East_petroleum_liquids_with_gt_1,East_petroleum_liquids_with_ic_1,East_solar_photovoltaic_1,North_conventional_hydroelectric_1,North_landfill_gas_1,North_natural_gas_internal_combustion_engine_1,North_onshore_wind_turbine_1,North_petroleum_liquids_with_cc_1,North_petroleum_liquids_with_gt_1,North_petroleum_liquids_with_st_1,North_solar_photovoltaic_1,South_batteries_1,South_conventional_hydroelectric_1,South_natural_gas_fired_combined_cycle_1,South_natural_gas_steam_turbine_1,South_onshore_wind_turbine_1,South_petroleum_liquids_with_gt_1,South_petroleum_liquids_with_st_1,South_solar_photovoltaic_1,West_batteries_1,West_petroleum_liquids_with_gt_1,West_petroleum_liquids_with_ic_1,West_solar_photovoltaic_1,East_battery_moderate_0,East_naturalgas_ctavgcf_moderate_0,East_naturalgas_ccavgcf_moderate_0,East_microgrid_solar_moderate_0,East_microgrid_diesel_moderate_0,East_utilitypv_class1_moderate_1,East_landbasedwind_class3_moderate_1,North_battery_moderate_0,North_naturalgas_ctavgcf_moderate_0,North_naturalgas_ccavgcf_moderate_0,North_microgrid_solar_moderate_0,North_microgrid_diesel_moderate_0,North_utilitypv_class1_moderate_1,North_landbasedwind_class3_moderate_1,South_battery_moderate_0,South_naturalgas_ctavgcf_moderate_0,South_naturalgas_ccavgcf_moderate_0,South_microgrid_solar_moderate_0,South_microgrid_diesel_moderate_0,South_utilitypv_class1_moderate_1,South_landbasedwind_class3_moderate_1,West_battery_moderate_0,West_naturalgas_ctavgcf_moderate_0,West_naturalgas_ccavgcf_moderate_0,West_microgrid_solar_moderate_0,West_microgrid_diesel_moderate_0,West_utilitypv_class1_moderate_1,West_landbasedwind_class3_moderate_1,North_to_south_underground_line,North_to_east_underground_line,South_to_west_underground_line
t10,0.0002638670896196089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.266960169932518e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.212760384850616e-5,0.0,0.0,0.0,3.544442995016146e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.538691426412081e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.546826878775282e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.5416663996858515e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.00026659690695647197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.61130000898945e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.519810325450767e-5,0.0,0.0,0.0,3.6685748342546695e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.662895045822118e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.671070326183291e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.665809485696334e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.00026727152584964965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.654293545787548e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54640453651232e-5,0.0,0.0,0.0,3.714741985573251e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.709073140339544e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.7172981934631895e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.711988301086794e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.00026748804484612787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.653079089641296e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.538488808059384e-5,0.0,0.0,0.0,3.7252754378255476e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.719577414675855e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.727849357074032e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.722516484987515e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0002672838691113946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.618941885440846e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5055922150647475e-5,0.0,0.0,0.0,3.7030353964794103e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.6972742830023225e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.705580662687613e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.700267348757766e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0002659451004438573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.445895114516328e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357135983146752e-5,0.0,0.0,0.0,3.616889549241895e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.611011277035122e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.619330237941228e-5,0.0,0.0,0.0,0.0,0.0,0.0,3.614153955382401e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0002557433885808869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.355497868651953e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.406863525741897e-5,0.0,0.0,0.0,2.9668918757533056e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.9610363305823752e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.9692202819791862e-5,0.0,0.0,0.0,0.0,0.0,0.0,2.9653976158885382e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0002070042141700229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5620173921933728e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.073496696750905e-6,0.0,0.0,0.0,-2.0474202630591313e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.0535094150809872e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.0431944575511054e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.0468280596845717e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.00020283864188438562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1153947180514216e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0939069944048647e-5,0.0,0.0,0.0,-2.2862355024223716e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.2925041651870837e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.280840063641344e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.2857365342322375e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.00020205079717068488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0675822944647158e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1286012694785336e-5,0.0,0.0,0.0,-2.3582826972459033e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.3647118811281447e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.352528879356562e-5,0.0,0.0,0.0,0.0,0.0,0.0,-2.3581697348136986e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
