Resource,Zone,AnnualSum,Capacity,CapacityFactor
East_batteries_1,1,0.12424776422690398,3.6,0.0
East_conventional_hydroelectric_1,1,0.5016558929126917,6.6,0.0
East_landfill_gas_1,1,1.4420471788730707,2.3996174831812014,0.600948771618918
East_natural_gas_internal_combustion_engine_1,1,1.71130439796201,3.198967226601904,0.5349552767315414
East_petroleum_liquids_with_gt_1,1,31.813666905947503,93.19697572824253,0.3413594342236321
East_petroleum_liquids_with_ic_1,1,2.0180770238087815,3.9917200612118027,0.5055657693581018
East_solar_photovoltaic_1,1,7.982385457131027,48.74472920214163,0.16375894558831705
North_conventional_hydroelectric_1,2,4.4068026441294075,37.0,0.11910277416565569
North_landfill_gas_1,2,0.9327628046378862,1.6296039017649833,0.0
North_natural_gas_internal_combustion_engine_1,2,4.139399301250791,8.228401561625391,0.5030623834105854
North_onshore_wind_turbine_1,2,0.11624479544220337,0.5773940246870165,0.0
North_petroleum_liquids_with_cc_1,2,124.76646934336269,429.3502164954288,0.2905937031120302
North_petroleum_liquids_with_gt_1,2,52.014203595571175,172.10274221020398,0.3022276282619599
North_petroleum_liquids_with_st_1,2,157.22235230815372,595.2448032014328,0.26413057529028766
North_solar_photovoltaic_1,2,2.108883907443425,14.82131812234558,0.14228720347509877
South_batteries_1,3,0.5129280459743754,5.1,0.0
South_conventional_hydroelectric_1,3,5.707057077907664,46.2,0.12352937398068126
South_natural_gas_fired_combined_cycle_1,3,159.91655999018582,576.0891918007544,0.27758993271564286
South_natural_gas_steam_turbine_1,3,153.12638783196965,765.5944972954786,0.20000978112159282
South_onshore_wind_turbine_1,3,24.727176044331646,74.57999760035602,0.33155238455267505
South_petroleum_liquids_with_gt_1,3,18.640736846319268,45.461775159789966,0.41003099374804014
South_petroleum_liquids_with_st_1,3,206.5646802382874,1003.1300553221822,0.20592013881184798
South_solar_photovoltaic_1,3,6.992383971504574,43.057627225933935,0.16239594287937853
West_batteries_1,4,1.670048260439234,21.8,0.0
West_petroleum_liquids_with_gt_1,4,66.34429358153429,219.99253421966773,0.3015752048898429
West_petroleum_liquids_with_ic_1,4,1.0524710725856035,2.0507243405608375,0.5132191839580623
West_solar_photovoltaic_1,4,7.100184260298133,44.53088197227151,0.15944405198888806
East_battery_moderate_0,1,14.592232214796901,72.83344025822105,0.0
East_naturalgas_ctavgcf_moderate_0,1,2.7049289708385703e-8,5.230388956496578e-8,0.0
East_naturalgas_ccavgcf_moderate_0,1,1.4307655774586297e-7,2.774299643511041e-7,0.0
East_microgrid_solar_moderate_0,1,0.38378038572662243,3.652953675979493,0.0
East_microgrid_diesel_moderate_0,1,0.34439060261304616,0.9977033700570449,0.0
East_utilitypv_class1_moderate_1,1,147.9455590669807,777.1683606522256,0.19036487659226753
East_landbasedwind_class3_moderate_1,1,62.72293983714526,168.76290642702725,0.37166306959915063
North_battery_moderate_0,2,14.536014808971586,72.71494919047439,0.0
North_naturalgas_ctavgcf_moderate_0,2,2.703550057088988e-8,5.229395128631336e-8,0.0
North_naturalgas_ccavgcf_moderate_0,2,1.4291089728981772e-7,2.7744613287837866e-7,0.0
North_microgrid_solar_moderate_0,2,0.3842573024742769,3.640146467300169,0.0
North_microgrid_diesel_moderate_0,2,0.3442800218789245,0.9974475807878287,0.0
North_utilitypv_class1_moderate_1,2,156.8491341883459,819.5825621460431,0.19137685625916404
North_landbasedwind_class3_moderate_1,2,43.17337892858652,127.26182373429882,0.33924846950742904
South_battery_moderate_0,3,14.607305484548965,72.82117344427962,0.0
South_naturalgas_ctavgcf_moderate_0,3,2.7056492905550776e-8,5.230882452965916e-8,0.0
South_naturalgas_ccavgcf_moderate_0,3,1.4321249099522973e-7,2.7738279891079054e-7,0.0
South_microgrid_solar_moderate_0,3,0.3785435114569185,3.593806825672885,0.0
South_microgrid_diesel_moderate_0,3,0.34199216793661585,0.997485552274333,0.0
South_utilitypv_class1_moderate_1,3,173.18782088895895,900.7763487965595,0.19226506237684052
South_landbasedwind_class3_moderate_1,3,65.21722178323435,173.30793357560532,0.3763083457156407
West_battery_moderate_0,4,14.564285342850685,72.75258104361895,0.0
West_naturalgas_ctavgcf_moderate_0,4,2.7048720310941397e-8,5.23073198312359e-8,0.0
West_naturalgas_ccavgcf_moderate_0,4,1.430816157656299e-7,2.7756252534740173e-7,0.0
West_microgrid_solar_moderate_0,4,0.37424022621160763,3.6272168535192044,0.0
West_microgrid_diesel_moderate_0,4,0.3445576507453927,0.9977345284415762,0.0
West_utilitypv_class1_moderate_1,4,35.499230316875725,197.18684544495025,0.18002839001136645
West_landbasedwind_class3_moderate_1,4,50.2672264131976,169.2748603245858,0.29695624215437627
North_to_south_underground_line,2,0.0,0.0,0.0
North_to_east_underground_line,1,0.0,0.0,0.0
South_to_west_underground_line,4,0.0,0.0,0.0
